Duration (in seconds),Finished,Gender,Gender_4_TEXT,Age,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration,Creativity 1,Creativity 2,Agency 1,Agency 2,Ownership 1,Ownership 2,Q20,Q23,Q21,Q22,Q24
Duration (in seconds),Finished,What is your gender? - Selected Choice,What is your gender? - I use a different term - Text,What is your age range?,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discourage, irritated, stressed, and annoyed were you?",I felt creative while using the system.,The input method constrained my creativity.,I felt in control of the outcome.,The system overrode or failed to respond appropriately to my intentions.,I felt responsible for the final output.,I felt the AI was responsible for the final output.,(Optional but appreciated!) What roles did you and the AI play in the creative process?,"(Optional but appreciated!) What parts of the interface or interactions were confusing, frustrating, or not working as you expected?","(Optional but appreciated!) What parts of the interface or interactions were fun, exciting, or worked particularly well?","(Optional but appreciated!) If you could change or add anything to the system, what changes/additions would you make and why?",(Optional but appreciated!) Do you have any other feedback on the system?
"{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID25""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID24_TEXT""}"
382,1,1,,2,1,1,1,2,1,1,5,1,4,2,4,4,I specified the mood of the narrative and the AI was creating the narrative based on it.,I think all parts worked as expected.,"It was fun to rapidly change the mood of the narratives, and seeing how it changes the narratives.",I think neutral could be a nice mood to specify as well (which could maintain the existing mood of the narrative).,
1383,1,2,,2,2,2,2,2,1,1,4,4,4,2,4,5,,,select ,,
252,1,2,,2,1,2,2,1,2,1,4,2,3,4,4,4,"I felt like i was giving directions in an improv group, and the ai were the actors",i wasn't sure about how slow or fast i was supposed to move on to the next action,"i was always curious about what the ai would say next, it was very fun exploring possibilities",,
550,1,1,,1,2,3,2,2,3,1,4,3,4,2,4,3,"'- me: swing mood
- AI: story progression",Turn taking was not an automatic behaviour,'- cool that I can use my body as input! Giving strong Xbox 360 kinetic vibe. I find it more stimulating than sitting and hunching over a keyboard. Makes me feel creative.,"'- Would like if I can try out different combinations at each turn. Currently only allows one combination. This is connected to how I imagine the conversation and story to progress. I imagine whatever line a character says will dictate the response from the other characters and changes the narrative, so I’m afraid to experiment.",'- really cool! Would love to see a way for me to also control the narrative of the story (or maybe that wasn’t the intention of the system).
576,1,2,,3,2,3,2,2,2,2,4,3,4,2,2,4,"I chose the emotion that I'd like to try, and an AI-generated voice tone/story, depending on the emotion",not really confusing in general,"There's some intensity level of emotion, and I thought that part was interesting because there's basic emotion (sad, happy, angry), but it still makes enough diversity according to the user's intention ","If it's well matched to the direction of the development goal, I think it would be nice if the facial emotion also becomes a component as an input. ",-
262,1,1,,3,5,4,4,1,5,3,5,1,4,1,4,4,"I felt like i was a guide, nudging the AI to make its way in a certain direction, and it then made its own path from there. ",The start and stop function felt a bit finicky but was okay. ,Being able to choose the level of the emotions was a lot of fun. I enjoyed being able to switch between characters too. ,I might like to give a starting prompt to set the scene. That would be fun and make me feel like i was contributing to the story more. ,No that i can think of right now. I had fun!
340,1,1,,3,1,2,3,1,2,1,5,2,3,3,4,5,,,,,
443,1,2,,2,2,3,3,2,3,2,5,1,4,2,4,5,,,,,
